CLUES,TIPOURGENCIA,MOTATE,YEAR,count,TIPOURGENCIA_V,MOTATE_V
ASSSA000025,1.0,2.0,2013,2298,URGENCIA CALIFICADA,MEDICA
ASSSA000025,1.0,2.0,2014,2731,URGENCIA CALIFICADA,MEDICA
ASSSA000025,1.0,2.0,2015,2544,URGENCIA CALIFICADA,MEDICA
ASSSA000025,1.0,2.0,2016,2653,URGENCIA CALIFICADA,MEDICA
ASSSA000025,1.0,3.0,2010,4,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000025,1.0,3.0,2011,2,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000025,1.0,4.0,2010,1952,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000025,1.0,4.0,2011,2023,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000025,1.0,4.0,2012,1978,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000025,1.0,4.0,2013,2108,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000025,1.0,4.0,2014,1337,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000025,1.0,4.0,2015,1272,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000025,1.0,4.0,2016,1407,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000025,1.0,9.0,2010,1,URGENCIA CALIFICADA,NO ESPECIFICADO
ASSSA000025,2.0,1.0,2010,2624,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,2.0,1.0,2011,4309,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,2.0,1.0,2012,5234,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,2.0,1.0,2013,4732,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,2.0,1.0,2014,5526,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,2.0,1.0,2015,5114,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,2.0,1.0,2016,6016,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000025,2.0,2.0,2010,4244,URGENCIA NO CALIFICADA,MEDICA
ASSSA000025,2.0,2.0,2011,7361,URGENCIA NO CALIFICADA,MEDICA
ASSSA000025,2.0,2.0,2012,9369,URGENCIA NO CALIFICADA,MEDICA
ASSSA000025,2.0,2.0,2013,9133,URGENCIA NO CALIFICADA,MEDICA
ASSSA000025,2.0,2.0,2014,8324,URGENCIA NO CALIFICADA,MEDICA
ASSSA000025,2.0,2.0,2015,8827,URGENCIA NO CALIFICADA,MEDICA
ASSSA000025,2.0,2.0,2016,10977,URGENCIA NO CALIFICADA,MEDICA
ASSSA000025,2.0,3.0,2010,14,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000025,2.0,3.0,2011,2,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000025,2.0,3.0,2015,2,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000025,2.0,3.0,2016,1,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000025,2.0,4.0,2010,5752,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000025,2.0,4.0,2011,6509,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000025,2.0,4.0,2012,8017,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000025,2.0,4.0,2013,7466,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000025,2.0,4.0,2014,7174,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000025,2.0,4.0,2015,6398,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000025,2.0,4.0,2016,7106,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000025,2.0,9.0,2010,47,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000025,2.0,9.0,2014,1,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000030,-1.0,1.0,2009,3368,,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,1.0,2.0,2009,13258,URGENCIA CALIFICADA,MEDICA
ASSSA000030,1.0,3.0,2009,74,URGENCIA CALIFICADA,QUIRURGICA
ASSSA000030,1.0,4.0,2009,73,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,1.0,5.0,2009,9965,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000030,2.0,6.0,2009,28559,URGENCIA NO CALIFICADA,URGENCIA NO CALIFICADA
ASSSA000030,-1.0,9.0,2009,675,,NO ESPECIFICADO
ASSSA000030,1.0,1.0,2010,1982,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,1.0,1.0,2011,1976,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,1.0,1.0,2012,4467,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,1.0,1.0,2013,3536,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,1.0,1.0,2014,3946,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,1.0,1.0,2015,4401,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,1.0,1.0,2016,6441,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,1.0,2.0,2010,11583,URGENCIA CALIFICADA,MEDICA
ASSSA000030,1.0,2.0,2011,14026,URGENCIA CALIFICADA,MEDICA
ASSSA000030,1.0,2.0,2012,14956,URGENCIA CALIFICADA,MEDICA
ASSSA000030,1.0,2.0,2013,18719,URGENCIA CALIFICADA,MEDICA
ASSSA000030,1.0,2.0,2014,19967,URGENCIA CALIFICADA,MEDICA
ASSSA000030,1.0,2.0,2015,18347,URGENCIA CALIFICADA,MEDICA
ASSSA000030,1.0,2.0,2016,15322,URGENCIA CALIFICADA,MEDICA
ASSSA000030,1.0,3.0,2010,24,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,1.0,3.0,2011,15,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,1.0,3.0,2012,21,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,1.0,3.0,2013,10,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,1.0,3.0,2014,17,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,1.0,3.0,2015,14,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,1.0,3.0,2016,17,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,1.0,4.0,2010,8222,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000030,1.0,4.0,2011,9363,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000030,1.0,4.0,2012,9545,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000030,1.0,4.0,2013,11649,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000030,1.0,4.0,2014,11695,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000030,1.0,4.0,2015,8685,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000030,1.0,4.0,2016,6141,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000030,1.0,9.0,2010,6,URGENCIA CALIFICADA,NO ESPECIFICADO
ASSSA000030,1.0,9.0,2011,5,URGENCIA CALIFICADA,NO ESPECIFICADO
ASSSA000030,1.0,9.0,2013,5,URGENCIA CALIFICADA,NO ESPECIFICADO
ASSSA000030,1.0,9.0,2016,2,URGENCIA CALIFICADA,NO ESPECIFICADO
ASSSA000030,2.0,1.0,2010,43,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,2.0,1.0,2011,14,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,2.0,1.0,2012,14,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,2.0,1.0,2013,5,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,2.0,1.0,2014,3,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,2.0,1.0,2015,2,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,2.0,1.0,2016,2,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000030,2.0,2.0,2010,12146,URGENCIA NO CALIFICADA,MEDICA
ASSSA000030,2.0,2.0,2011,11856,URGENCIA NO CALIFICADA,MEDICA
ASSSA000030,2.0,2.0,2012,10415,URGENCIA NO CALIFICADA,MEDICA
ASSSA000030,2.0,2.0,2013,7164,URGENCIA NO CALIFICADA,MEDICA
ASSSA000030,2.0,2.0,2014,6679,URGENCIA NO CALIFICADA,MEDICA
ASSSA000030,2.0,2.0,2015,7179,URGENCIA NO CALIFICADA,MEDICA
ASSSA000030,2.0,2.0,2016,10217,URGENCIA NO CALIFICADA,MEDICA
ASSSA000030,2.0,3.0,2010,38,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,2.0,3.0,2011,33,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,2.0,3.0,2012,12,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,2.0,3.0,2013,6,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,2.0,3.0,2014,16,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,2.0,3.0,2015,9,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,2.0,3.0,2016,7,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000030,2.0,4.0,2010,10912,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000030,2.0,4.0,2011,9633,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000030,2.0,4.0,2012,8268,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000030,2.0,4.0,2013,5854,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000030,2.0,4.0,2014,5020,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000030,2.0,4.0,2015,4311,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000030,2.0,4.0,2016,5256,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000030,2.0,9.0,2010,16,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000030,2.0,9.0,2011,1,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000030,2.0,9.0,2012,1,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000030,2.0,9.0,2013,17,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000030,2.0,9.0,2016,2,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000042,1.0,4.0,2009,12765,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,2.0,6.0,2009,10216,URGENCIA NO CALIFICADA,URGENCIA NO CALIFICADA
ASSSA000042,1.0,1.0,2014,1,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000042,1.0,2.0,2015,5,URGENCIA CALIFICADA,MEDICA
ASSSA000042,1.0,3.0,2010,13096,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,1.0,3.0,2011,13879,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,1.0,3.0,2012,10857,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,1.0,3.0,2013,14650,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,1.0,3.0,2014,11431,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,1.0,3.0,2015,9228,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,1.0,3.0,2016,14115,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,1.0,4.0,2014,1,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000042,1.0,4.0,2016,1,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000042,2.0,2.0,2012,8,URGENCIA NO CALIFICADA,MEDICA
ASSSA000042,2.0,2.0,2015,13,URGENCIA NO CALIFICADA,MEDICA
ASSSA000042,2.0,2.0,2016,2,URGENCIA NO CALIFICADA,MEDICA
ASSSA000042,2.0,3.0,2010,9437,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,2.0,3.0,2011,11288,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,2.0,3.0,2012,11807,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,2.0,3.0,2013,14708,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,2.0,3.0,2014,17028,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,2.0,3.0,2015,17842,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000042,2.0,3.0,2016,16209,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000054,-1.0,1.0,2009,3,,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000054,1.0,2.0,2009,2100,URGENCIA CALIFICADA,MEDICA
ASSSA000054,1.0,3.0,2009,1,URGENCIA CALIFICADA,QUIRURGICA
ASSSA000054,1.0,1.0,2012,3,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000054,1.0,1.0,2013,2,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000054,1.0,2.0,2010,2436,URGENCIA CALIFICADA,MEDICA
ASSSA000054,1.0,2.0,2011,3362,URGENCIA CALIFICADA,MEDICA
ASSSA000054,1.0,2.0,2012,4317,URGENCIA CALIFICADA,MEDICA
ASSSA000054,1.0,2.0,2013,5106,URGENCIA CALIFICADA,MEDICA
ASSSA000054,1.0,2.0,2014,6471,URGENCIA CALIFICADA,MEDICA
ASSSA000054,1.0,2.0,2015,6336,URGENCIA CALIFICADA,MEDICA
ASSSA000054,1.0,2.0,2016,7488,URGENCIA CALIFICADA,MEDICA
ASSSA000054,2.0,1.0,2012,11,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000054,2.0,1.0,2013,2,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000054,2.0,1.0,2015,1,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000054,2.0,2.0,2010,119,URGENCIA NO CALIFICADA,MEDICA
ASSSA000054,2.0,2.0,2011,2,URGENCIA NO CALIFICADA,MEDICA
ASSSA000054,2.0,2.0,2012,1,URGENCIA NO CALIFICADA,MEDICA
ASSSA000054,2.0,2.0,2013,1,URGENCIA NO CALIFICADA,MEDICA
ASSSA000054,2.0,2.0,2014,16,URGENCIA NO CALIFICADA,MEDICA
ASSSA000054,2.0,3.0,2010,1,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000054,2.0,3.0,2011,1,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,-1.0,1.0,2009,2036,,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,1.0,2.0,2009,2418,URGENCIA CALIFICADA,MEDICA
ASSSA000404,1.0,3.0,2009,72,URGENCIA CALIFICADA,QUIRURGICA
ASSSA000404,1.0,4.0,2009,1839,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,1.0,5.0,2009,102,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000404,2.0,6.0,2009,12744,URGENCIA NO CALIFICADA,URGENCIA NO CALIFICADA
ASSSA000404,3.0,7.0,2009,143,APOYO A SERVICIOS DE MEDICINA GENERAL,APOYO A SERVICIOS DE MEDICINA GENERAL
ASSSA000404,-1.0,9.0,2009,16,,NO ESPECIFICADO
ASSSA000404,1.0,1.0,2010,1815,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,1.0,1.0,2011,1764,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,1.0,1.0,2012,2162,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,1.0,1.0,2013,2295,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,1.0,1.0,2014,1392,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,1.0,1.0,2015,954,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,1.0,1.0,2016,1463,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,1.0,2.0,2010,1630,URGENCIA CALIFICADA,MEDICA
ASSSA000404,1.0,2.0,2011,1140,URGENCIA CALIFICADA,MEDICA
ASSSA000404,1.0,2.0,2012,1815,URGENCIA CALIFICADA,MEDICA
ASSSA000404,1.0,2.0,2013,3334,URGENCIA CALIFICADA,MEDICA
ASSSA000404,1.0,2.0,2014,2728,URGENCIA CALIFICADA,MEDICA
ASSSA000404,1.0,2.0,2015,2244,URGENCIA CALIFICADA,MEDICA
ASSSA000404,1.0,2.0,2016,3609,URGENCIA CALIFICADA,MEDICA
ASSSA000404,1.0,3.0,2010,1151,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,1.0,3.0,2011,387,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,1.0,3.0,2012,395,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,1.0,3.0,2013,610,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,1.0,3.0,2014,434,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,1.0,3.0,2015,604,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,1.0,3.0,2016,449,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,1.0,4.0,2010,170,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000404,1.0,4.0,2011,152,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000404,1.0,4.0,2012,147,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000404,1.0,4.0,2013,72,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000404,1.0,4.0,2014,424,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000404,1.0,4.0,2015,777,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000404,1.0,4.0,2016,1503,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000404,2.0,1.0,2010,212,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,2.0,1.0,2011,100,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,2.0,1.0,2012,369,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,2.0,1.0,2013,54,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,2.0,1.0,2014,12,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,2.0,1.0,2015,11,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,2.0,1.0,2016,4,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000404,2.0,2.0,2010,11396,URGENCIA NO CALIFICADA,MEDICA
ASSSA000404,2.0,2.0,2011,13129,URGENCIA NO CALIFICADA,MEDICA
ASSSA000404,2.0,2.0,2012,11801,URGENCIA NO CALIFICADA,MEDICA
ASSSA000404,2.0,2.0,2013,11497,URGENCIA NO CALIFICADA,MEDICA
ASSSA000404,2.0,2.0,2014,9572,URGENCIA NO CALIFICADA,MEDICA
ASSSA000404,2.0,2.0,2015,8297,URGENCIA NO CALIFICADA,MEDICA
ASSSA000404,2.0,2.0,2016,6869,URGENCIA NO CALIFICADA,MEDICA
ASSSA000404,2.0,3.0,2010,432,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,2.0,3.0,2011,849,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,2.0,3.0,2012,943,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,2.0,3.0,2013,632,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,2.0,3.0,2014,328,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,2.0,3.0,2015,31,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,2.0,3.0,2016,8,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
ASSSA000404,2.0,4.0,2010,146,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000404,2.0,4.0,2011,228,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000404,2.0,4.0,2012,105,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000404,2.0,4.0,2013,22,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000404,2.0,4.0,2014,1364,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000404,2.0,4.0,2015,3868,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000404,2.0,4.0,2016,3145,URGENCIA NO CALIFICADA,PEDIATRICA
ASSSA000404,2.0,9.0,2010,1,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000404,2.0,9.0,2014,2,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000404,2.0,9.0,2015,1,URGENCIA NO CALIFICADA,NO ESPECIFICADO
ASSSA000614,-1.0,1.0,2009,1842,,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000614,1.0,2.0,2009,6158,URGENCIA CALIFICADA,MEDICA
ASSSA000614,1.0,3.0,2009,365,URGENCIA CALIFICADA,QUIRURGICA
ASSSA000614,1.0,4.0,2009,3854,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000614,1.0,5.0,2009,1297,URGENCIA CALIFICADA,PEDIATRICA
ASSSA000614,2.0,6.0,2009,10765,URGENCIA NO CALIFICADA,URGENCIA NO CALIFICADA
ASSSA000614,3.0,7.0,2009,459,APOYO A SERVICIOS DE MEDICINA GENERAL,APOYO A SERVICIOS DE MEDICINA GENERAL
ASSSA000614,-1.0,9.0,2009,13,,NO ESPECIFICADO
ASSSA000614,1.0,1.0,2010,977,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000614,1.0,1.0,2011,989,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000614,1.0,1.0,2012,515,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000614,1.0,1.0,2013,193,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000614,1.0,1.0,2014,424,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000614,1.0,1.0,2015,1814,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000614,1.0,1.0,2016,1022,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
ASSSA000614,1.0,2.0,2010,4561,URGENCIA CALIFICADA,MEDICA
ASSSA000614,1.0,2.0,2011,6496,URGENCIA CALIFICADA,MEDICA
ASSSA000614,1.0,2.0,2012,2622,URGENCIA CALIFICADA,MEDICA
ASSSA000614,1.0,2.0,2013,2079,URGENCIA CALIFICADA,MEDICA
ASSSA000614,1.0,2.0,2014,3656,URGENCIA CALIFICADA,MEDICA
ASSSA000614,1.0,2.0,2015,7927,URGENCIA CALIFICADA,MEDICA
ASSSA000614,1.0,2.0,2016,9857,URGENCIA CALIFICADA,MEDICA
ASSSA000614,1.0,3.0,2010,1822,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000614,1.0,3.0,2011,1876,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000614,1.0,3.0,2012,820,URGENCIA CALIFICADA,GINECO-OBSTETRICA
ASSSA000614,1.0,3.0,2013,548,URGENCIA CALIFICADA,GINECO-OBSTETRICA
