,CLUES,NOMBRE DE LA ENTIDAD,NOMBRE DEL MUNICIPIO,NOMBRE DE LA LOCALIDAD,NOMBRE DE LA JURISDICCION,CLAVE DE LA INSTITUCION,NOMBRE DE TIPOLOGIA,CONSULTORIOS DE MED GRAL,CONSULTORIOS EN OTRAS AREAS,TOTAL DE CONSULTORIOS,CAMAS EN AREA DE HOS,CAMAS EN OTRAS AREAS,TOTAL DE CAMAS,NOMBRE DE LA UNIDAD,OBSERVACIONES DE LA DIRECCION,CODIGO POSTAL,ESTATUS DE OPERACION,LONGITUD,LATITUD,NIVEL ATENCION
6525,DFIMS000225,CIUDAD DE MEXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,IMSS,HOSPITAL GENERAL DE ZONA,39,0,39,130,0,130,HGZ 24 INSURGENTES,"INSURGENTES NORTE NO. 1322 ESQUINA EJE 4 NORTE FORTUNA COL. MAGDALENA DE LAS SALINAS C.P. 07760, GUSTAVO A. MADERO, D.F.",7760.0,EN OPERACION,-99.1247,19.4843,SEGUNDO NIVEL
6526,DFIMS000230,CIUDAD DE MEXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,IMSS,HOSPITAL GENERAL DE ZONA,50,0,50,143,0,143,HGZMF 29 S. JUAN ARAGON,"AV. 510 NO. 100 ESQUINA ZAPATA,S.JUAN DE ARAGÓN 1A. SECCIÓN COL. UNIDAD SAN JUAN DE ARAGÓN C.P. 07920, GUSTAVO A. MADERO, D.F.",7920.0,EN OPERACION,-99.0839,19.4641,SEGUNDO NIVEL
6534,DFIMS000312,CIUDAD DE MEXICO,IZTACALCO,IZTACALCO,IZTACALCO,IMSS,HOSPITAL GENERAL DE ZONA,54,0,54,305,0,305,HGZ 2A PASO-TRONCOSO,"AÑIL NO. 144 FRANCISCO DEL PASO Y TRONCOSO COL. GRANJAS MÉXICO C.P. 08400, IZTACALCO, D.F.",8400.0,EN OPERACION,-99.1131813,19.4049847,SEGUNDO NIVEL
6535,DFIMS000324,CIUDAD DE MEXICO,IZTACALCO,IZTACALCO,IZTACALCO,IMSS,HOSPITAL GENERAL DE ZONA,40,0,40,120,0,120,HGZ 30 IZTACALCO,"PLUTARCO ELÍAS CALLES NO. 473 EMILIO CARRANZA COL. SANTA ANITA C.P. 08300, IZTACALCO, D.F.",8300.0,EN OPERACION,-99.1219,19.3984,SEGUNDO NIVEL
6539,DFIMS000365,CIUDAD DE MEXICO,IZTAPALAPA,IZTAPALAPA,IZTAPALAPA,IMSS,HOSPITAL GENERAL DE ZONA,28,0,28,166,0,166,HGZ 47 VICENTE GUERRERO,"CAMPAÑA DEL ÉBANO Y COMBATE DE CELAYA COL. VICENTE GUERRERO C.P. 09200, IZTAPALAPA, D.F.",9200.0,EN OPERACION,-99.0533,19.3576,SEGUNDO NIVEL
6540,DFIMS000370,CIUDAD DE MEXICO,IZTAPALAPA,IZTAPALAPA,IZTAPALAPA,IMSS,HOSPITAL GENERAL REGIONAL,53,0,53,305,0,305,HGR 25 I. ZARAGOZA,"AV. IGNACIO ZARAGOZA NO. 1840  COL. JUAN ESCUTIA C.P. 09100, IZTAPALAPA, D.F.",9100.0,EN OPERACION,-99.0398,19.3882,SEGUNDO NIVEL
6548,DFIMS000452,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,ALVARO OBREGON,ÁLVARO OBREGÓN,IMSS,HOSPITAL DE GINECO-OBSTETRICIA,41,0,41,448,0,448,HGO 4 SAN ANGEL,"AV. RÍO MAGDALENA NO. 289 ENTRE ALTAMIRANO E HIDALGO COL. TIZAPÁN SAN ANGEL C.P. 01090, MÉXICO, D.F.",1090.0,EN OPERACION,-99.1999037,19.3362735,SEGUNDO NIVEL
6549,DFIMS000464,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,ALVARO OBREGON,ÁLVARO OBREGÓN,IMSS,HOSPITAL GENERAL DE ZONA,61,0,61,136,0,136,HGZMF 8 SAN ANGEL,"RÍO MAGDALENA NO. 289 ENTRE ALTAMIRANO E HIDALGO COL. TIZAPÁN SAN ANGEL C.P. 01090, MÉXICO, D.F., D.F.",1090.0,EN OPERACION,-99.2006915,19.3363033,SEGUNDO NIVEL
6551,DFIMS000481,CIUDAD DE MEXICO,TLALPAN,TLALPAN,TLALPAN,IMSS,HOPITAL DE PSIQUIATRÍA,4,0,4,92,0,92,H PSIQ SAN FERNANDO,"AV. SAN FERNANDO NO. 201 ENTRE CRUZ VERDE Y CALLEJÓN SAN FERNANDO COL. TORIELLO GUERRA C.P. 14050, MÉXICO, D.F., D.F.",14050.0,EN OPERACION,-99.174413,19.294887,SEGUNDO NIVEL
6555,DFIMS000522,CIUDAD DE MEXICO,BENITO JUÁREZ,BENITO JUAREZ,BENITO JUÁREZ,IMSS,HOSPITAL GENERAL DE ZONA,41,0,41,258,0,258,HGZ 1A VENADOS,"MUNICIPIO LIBRE NO. 270 ENTRE VÉRTIZ Y DIVISIÓN DEL NORTE COL. PORTALES C.P. 03300, BENITO JUÁREZ, D.F.",3300.0,EN OPERACION,-99.1558534,19.3698569,SEGUNDO NIVEL
6556,DFIMS000534,CIUDAD DE MEXICO,BENITO JUÁREZ,BENITO JUAREZ,BENITO JUÁREZ,IMSS,HOSPITAL GENERAL REGIONAL,64,0,64,214,0,214,HGZ 1 CARLOS MCGREGOR,"GABRIEL MANCERA NO. 222 ENTRE ROMERO DE TERREROS Y NICOLAS SAN J COL. DEL VALLE C.P. 03100, MÉXICO D.F., D.F.",3100.0,EN OPERACION,-99.1618,19.3946,SEGUNDO NIVEL
6560,DFIMS000575,CIUDAD DE MEXICO,CUAUHTÉMOC,CUAUHTEMOC,CUAUHTÉMOC,IMSS,HOSPILTAL DE CARDIOLOGÍA,23,0,23,156,0,156,HCARD CMN SIGLO XXI,"AV. CUAUHTÉMOC NO. 330 ENTRE DR. MÁRQUEZ Y EJE 3 SUR COL. DOCTORES C.P. 06720, MÉXICO, D.F., D.F.",6720.0,EN OPERACION,-99.1545,19.4089,TERCER NIVEL
6561,DFIMS000580,CIUDAD DE MEXICO,CUAUHTÉMOC,CUAUHTEMOC,CUAUHTÉMOC,IMSS,HOSPITAL DE ESPECIALIDADES,101,0,101,309,0,309,HES CMN SIGLO XXI,"AV. CUAUHTÉMOC NO. 330 ENTRE DR. MÁRQUE Y EJER 3 SUR COL. DOCTORES C.P. 06720, MÉXICO, D.F., D.F.",6720.0,EN OPERACION,-99.1545,19.4093,TERCER NIVEL
6563,DFIMS000604,CIUDAD DE MEXICO,CUAUHTÉMOC,CUAUHTEMOC,CUAUHTÉMOC,IMSS,HOSPITAL DE ONCOLOGÍA,101,0,101,145,0,145,HONCOL CMN SIGLO XXI,"AV. CUAUHTÉMOC NO. 330 ENTRE DR. MÁRQUEZ Y EJE 3 SUR COL. DOCTORES C.P. 06720, MÉXICO, D.F., D.F.",6720.0,EN OPERACION,-99.1545,19.4084,TERCER NIVEL
6564,DFIMS000616,CIUDAD DE MEXICO,CUAUHTÉMOC,CUAUHTEMOC,CUAUHTÉMOC,IMSS,HOSPITAL PEDIATRÍA,47,0,47,184,0,184,HPED CMN SIGLO XXI,"AV. CUAUHTÉMOC NO. 330 ENTRE DR. MÁRQUEZ Y EJE 3 SUR COL. DOCTORES C.P. 06720, MÉXICO, D.F., D.F.",6720.0,EN OPERACION,-99.1544,19.4087,TERCER NIVEL
6565,DFIMS000621,CIUDAD DE MEXICO,CUAUHTÉMOC,CUAUHTEMOC,CUAUHTÉMOC,IMSS,HOSPITAL GENERAL DE ZONA,44,0,44,122,0,122,HGZ 27 TLATELOLCO,"EJE CENTRAL LÁZARO CÁRDENAS NO. 445 UNIDAD NONOALCO TLATELOLCO COL. UNIDAD NONOALCO TLATELOLCO C.P. 06900, CUAUHTÉMOC, D.F.",6900.0,EN OPERACION,-99.1398497,19.4546731,SEGUNDO NIVEL
6566,DFIMS000633,CIUDAD DE MEXICO,CUAUHTÉMOC,CUAUHTEMOC,CUAUHTÉMOC,IMSS,HOSPITAL GENERAL DE ZONA,45,0,45,86,0,86,HGZMF26 CONDESA,"CHILPANCINGO 56 ENTRE AGUASCALIENTES Y TLAXCALA COL. CONDESA C.P. 06100, MÉXICO, D.F., D.F.",6100.0,EN OPERACION,-99.169406,19.407406,SEGUNDO NIVEL
6582,DFIMS000790,CIUDAD DE MEXICO,BENITO JUÁREZ,BENITO JUAREZ,BENITO JUÁREZ,IMSS,HOPITAL PSIQUIATRÍA CON MEDICINA FAMILIAR,64,0,64,20,0,20,H PSIQUIATRICO MF10 POSTAL,"CLZD. DE TLALPAN NO. 931 NIÑOS HÉROES DE CHAPULTEPEC COL. NIÑOS HÉROES C.P. 03400, BENITO JUÁREZ, D.F.",3400.0,EN OPERACION,-99.13955384876317,19.38630036223465,SEGUNDO NIVEL
6584,DFIMS000814,CIUDAD DE MEXICO,COYOACÁN,COYOACAN,COYOACÁN,IMSS,HOSPITAL GENERAL REGIONAL CON UNIDAD MÉDICA DE ATENCIÓN AMBULATORIA,23,0,23,126,0,126,HGR 2 VILLA COAPA,CALZADA DE LA BOMBAS NO. 117 COL. EXHACIENDA COAPA C.P. 14310 COYOACÁN D.F.,14310.0,EN OPERACION,-99.1301,19.3092,SEGUNDO NIVEL
6586,DFIMS000831,CIUDAD DE MEXICO,AZCAPOTZALCO,AZCAPOTZALCO,AZCAPOTZALCO,IMSS,HOSPITAL GENERAL DE ZONA,25,0,25,203,0,203,HGZ NO. 48 SAN PEDRO XALPA,"FRANCISCO BERTANI Y EPIDIO CORTES S/N, COL. SAN PEDRO XALPA",27200.0,EN OPERACION,-99.1833,19.4828,SEGUNDO NIVEL
6614,DFIST000090,CIUDAD DE MEXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,ISSSTE,HOSPITAL REGIONAL ,91,0,91,290,0,290,PRIMERO DE OCTUBRE,"INSTITUTO POLITÉCNICO NACIONAL 1669, COL. MAGDALENA DE LAS SALINAS",99999.0,EN OPERACION,-99.13324529316014,19.486615001177984,TERCER NIVEL
6620,DFIST000155,CIUDAD DE MEXICO,IZTAPALAPA,IZTAPALAPA,IZTAPALAPA,ISSSTE,HOSPITAL GENERAL ,26,0,26,102,0,102,GRAL. JOSE MARIA MORELOS Y PAVON,"AV.  CONGRESO DE CHILPANCINGO  NORTE  ESQ.  EJERCITO DE CHILPANCINGO  SUR S/N, COL. U. H. ERMITA ZARAGOZA",99999.0,EN OPERACION,-98.99532074119634,19.364543764700397,SEGUNDO NIVEL
6621,DFIST000160,CIUDAD DE MEXICO,IZTAPALAPA,IZTAPALAPA,IZTAPALAPA,ISSSTE,HOSPITAL REGIONAL ,70,0,70,341,0,341,GRAL. IGNACIO ZARAGOZA,"CLZ. GRAL. IGNACIO ZARAGOZA 1711, COL. EJERCITO CONSTITUCIONALISTA",99999.0,EN OPERACION,-99.04478603984899,19.389334604091673,TERCER NIVEL
6624,DFIST000196,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,ALVARO OBREGON,ÁLVARO OBREGÓN,ISSSTE,HOSPITAL GENERAL ,32,0,32,137,0,137,DR. FERNANDO QUIROZ GUTIERREZ,"FELIPE ANGELES Y CANARIOS, COL. BELLAVISTA",99999.0,EN OPERACION,-99.19394368316716,19.394308062229744,SEGUNDO NIVEL
6625,DFIST000201,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,ALVARO OBREGON,ÁLVARO OBREGÓN,ISSSTE,HOSPITAL REGIONAL ,108,0,108,272,0,272,LIC. ADOLFO LOPEZ MATEOS,"UNIVERSIDAD 1321, COL. FLORIDA",99999.0,EN OPERACION,-99.17266485286746,19.35877491650485,TERCER NIVEL
6636,DFIST000312,CIUDAD DE MEXICO,BENITO JUÁREZ,BENITO JUAREZ,BENITO JUÁREZ,ISSSTE,CENTRO MÉDICO ,104,0,104,380,0,380,20 DE NOVIEMBRE,"FELIX CUEVAS 540, COL. DEL VALLE",99999.0,EN OPERACION,-99.17116281581912,19.37272072152908,TERCER NIVEL
6637,DFIST000324,CIUDAD DE MEXICO,BENITO JUÁREZ,BENITO JUAREZ,BENITO JUÁREZ,ISSSTE,HOSPITAL GENERAL ,38,0,38,175,0,175,DR. DARIO FERNANDEZ FIERRO,"AV. REVOLUCIÓN 1182, COL. SAN JOSE INSURGENTES",99999.0,EN OPERACION,-99.18861594987902,19.36351669563887,SEGUNDO NIVEL
6658,DFIST000534,CIUDAD DE MEXICO,MIGUEL HIDALGO,MIGUEL HIDALGO,MIGUEL HIDALGO,ISSSTE,HOSPITAL GENERAL ,46,0,46,151,0,151,TACUBA,"LAGO ONTARIO 119 NA, COL. TACUBA",99999.0,EN OPERACION,-99.19095033782469,19.45379170992823,SEGUNDO NIVEL
6716,DFPMX000012,CIUDAD DE MEXICO,AZCAPOTZALCO,AZCAPOTZALCO,AZCAPOTZALCO,PEMEX,NO ESPECIFICADO,114,0,114,100,0,100,HOSPITAL CENTRAL NORTE,CAMPO MATILLAS NO.52,99999.0,EN OPERACION,-99.200510,19.479856,TERCER NIVEL
6717,DFPMX000024,CIUDAD DE MEXICO,TLALPAN,TLALPAN,TLALPAN,PEMEX,NO ESPECIFICADO,66,0,66,140,0,140,HOSPITAL CENTRAL SUR DE ALTA ESPECIALIDAD,PERIFERICO SU. NO. 4091,99999.0,EN OPERACION,-99.2180252,19.3086159,TERCER NIVEL
6721,DFSDN000016,CIUDAD DE MEXICO,IZTAPALAPA,IZTAPALAPA,IZTAPALAPA,SEDENA,NO ESPECIFICADO,10,0,10,14,0,14,"ENFERMERÍA MILITAR DEL VERGEL, D. F.","CAMPO MILITAR NO. 1-E, CANAL  DE GARAY NO.100",99999.0,EN OPERACION,-99.081748,19.3118672,SEGUNDO NIVEL
6722,DFSDN000021,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,ALVARO OBREGON,ÁLVARO OBREGÓN,SEDENA,NO ESPECIFICADO,8,0,8,12,0,12,ENFERMERÍA,AV. VASCO DE QUIRÓGA NO. 1403,99999.0,EN OPERACION,-99.2,19.4,SEGUNDO NIVEL
6723,DFSDN000033,CIUDAD DE MEXICO,TLALPAN,TLALPAN,TLALPAN,SEDENA,NO ESPECIFICADO,9,0,9,11,0,11,"ENFERMERÍA MILITAR DEL HERÓICO COLEGIO MILITAR, D. F.","CAMPO MILITAR NO. 1-C, EN LA AUTOPISTA MÉXICO-CUERNAVACA, KM. 22.5,",99999.0,EN OPERACION,-99.14998246109462,19.256776493214147,SEGUNDO NIVEL
6724,DFSDN000045,CIUDAD DE MEXICO,CUAUHTÉMOC,CUAUHTEMOC,CUAUHTÉMOC,SEDENA,NO ESPECIFICADO,10,0,10,4,0,4,"ENFERMERÍA MILITAR DE POPOTLA, D. F.","CAMPO MILITAR NO. 1-B,  ENTRE CALZADA MÉXICO TACUBA Y CALLE FELIPE CARRILLO PUERTO",99999.0,EN OPERACION,-99.1722982,19.4493425,SEGUNDO NIVEL
6725,DFSDN000050,CIUDAD DE MEXICO,MIGUEL HIDALGO,MIGUEL HIDALGO,MIGUEL HIDALGO,SEDENA,NO ESPECIFICADO,25,0,25,20,0,20,CENTRO HOSPITALARIO DEL ESTADO MAYOR PRESIDENCIAL,"CONSTITUYENTES 247, ESQ. CON PERIFÉRICO",99999.0,EN OPERACION,-99.1928457934955,19.411903580835613,TERCER NIVEL
6726,DFSDN000062,CIUDAD DE MEXICO,MIGUEL HIDALGO,MIGUEL HIDALGO,MIGUEL HIDALGO,SEDENA,NO ESPECIFICADO,54,0,54,200,0,200,HOSPITAL MILITAR DE ESPECIALIDADES DE LA MUJER Y NEONATOLOGIA,AV. INDUSTRIA MILITAR S/N,99999.0,EN OPERACION,-99.218555,19.439556,SEGUNDO NIVEL
6727,DFSDN000074,CIUDAD DE MEXICO,MIGUEL HIDALGO,MIGUEL HIDALGO,MIGUEL HIDALGO,SEDENA,NO ESPECIFICADO,20,0,20,48,0,48,"ENFERMERÍA MILITAR DEL CAMPO MILITAR. NO. 1-A, D. F.",ENTRE AV. ANILLO PERIFÉRICO NORTE Y CALZADA DE CONSCRIPTO,99999.0,EN OPERACION,-99.22569014306646,19.449799580377203,SEGUNDO NIVEL
6728,DFSDN000086,CIUDAD DE MEXICO,MIGUEL HIDALGO,MIGUEL HIDALGO,MIGUEL HIDALGO,SEDENA,NO ESPECIFICADO,43,0,43,722,0,722,HOSPITAL CENTRAL MILITAR,"BOULEVARD MANUEL ÁVILA CAMACHO, ESQ. CON GENERAL CABRAL",99999.0,EN OPERACION,-99.21591138852818,19.437558055377973,TERCER NIVEL
6732,DFSMA000046,CIUDAD DE MEXICO,COYOACÁN,COYOACAN,COYOACÁN,SEMAR,NO ESPECIFICADO,82,0,82,141,0,141,HOSPITAL GENERAL NAVAL DE ALTA ESPECIALIDAD,"EJE 2 ORIENTE, TRAMO HEROICA ESCUELA NAVAL MILITAR 701, COL. PRESIDENTES EJIDALES 1ERA. SECCIÓN",99999.0,EN OPERACION,-99.125502,19.322560,TERCER NIVEL
6742,DFSME000103,CIUDAD DE MEXICO,IZTAPALAPA,IZTAPALAPA,IZTAPALAPA,SME,NO ESPECIFICADO,3,0,3,30,0,30,UNIDAD DE HOSPITALIZACIÓN IZTAPALAPA (CENTROS DE INTEGRACIÓN JUVENIL A.C.),SOTO Y GAMA S/N,9200.0,EN OPERACION,-99.0507953,19.358314,SEGUNDO NIVEL
6753,DFSMP000015,CIUDAD DE MEXICO,ÁLVARO OBREGÓN,ALVARO OBREGON,ÁLVARO OBREGÓN,SMP,NO ESPECIFICADO,0,0,0,172,0,172,"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER, I.A.P. (HOSPITAL ABC)","SUR 136 NO. 116, COL.LAS AMÉRICAS",99999.0,EN OPERACION,-99.204129,19.400054,TERCER NIVEL
6755,DFSMP000032,CIUDAD DE MEXICO,MIGUEL HIDALGO,MIGUEL HIDALGO,MIGUEL HIDALGO,SMP,NO ESPECIFICADO,78,0,78,401,0,401,SOCIEDAD DE BENEFICENCIA ESPAÑOLA I.A.P. (HOSPITAL ESPAÑOL),"AV.EJÉRCITO NACIONAL NO. 613, COL. GRANADA",11520.0,EN OPERACION,-99.195715,19.438697,TERCER NIVEL
6759,DFSMP000073,CIUDAD DE MEXICO,CUAUHTÉMOC,CUAUHTEMOC,CUAUHTÉMOC,SMP,NO ESPECIFICADO,14,0,14,36,0,36,SANATORIO TRINIDAD S.A. DE C.V.,"MANZANILLO NO.  94, COL. ROMA SUR",6760.0,EN OPERACION,-99.164646,19.40759,SEGUNDO NIVEL
6766,DFSMP000143,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,SMP,NO ESPECIFICADO,6,0,6,20,0,20,CENTRO DE ATENCIÓN MÉDICA INTEGRAL SA DE CV,"CALZADA IGNACIO ZARAGOZA NO. 189, COL. JARDÍN BALBUENA",15900.0,EN OPERACION,-99.10492899,19.4241588,SEGUNDO NIVEL
6767,DFSMP000155,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,SMP,NO ESPECIFICADO,2,0,2,4,0,4,SANATORIO MATERNIDAD GARCÍA FIGUEROA,"AV DEL TALLER NO 472, COL. JARDÍN BALBUENA",15900.0,EN OPERACION,99.112919,19.413837,SEGUNDO NIVEL
6768,DFSMP000160,CIUDAD DE MEXICO,IZTACALCO,IZTACALCO,IZTACALCO,SMP,NO ESPECIFICADO,2,0,2,2,0,2,SERVICIOS MÉDICOS,"ORIENTE 114 NO.- 2655, COL.GABRIEL RAMOS MILLAN",99999.0,EN OPERACION,-99.098477,19.3896057,SEGUNDO NIVEL
6770,DFSMP000184,CIUDAD DE MEXICO,IZTACALCO,IZTACALCO,IZTACALCO,SMP,NO ESPECIFICADO,3,0,3,11,0,11,SANATORIO DE ORIENTE,"AV SUR 24 NO 121, COL. AGRICOLA ORIENTAL",8500.0,EN OPERACION,-9907114933,19.3877842,SEGUNDO NIVEL
6771,DFSMP000196,CIUDAD DE MEXICO,IZTACALCO,IZTACALCO,IZTACALCO,SMP,NO ESPECIFICADO,5,0,5,12,0,12,MEDICA CUALI SC,SUR 22 NO 277 COL. AGRICOLA ORIENTAL,8500.0,EN OPERACION,-99.060596,19.3867918,SEGUNDO NIVEL
6772,DFSMP000201,CIUDAD DE MEXICO,TLALPAN,TLALPAN,TLALPAN,SMP,NO ESPECIFICADO,3,0,3,6,0,6,HOSPITAL SANTISIMA TRINIDAD,"CALLE TEPECINTLE MZA. 10 LT 4, COL. SANTISIMA TRINIDAD",99999.0,EN OPERACION,-99.1868677,19.27255943,SEGUNDO NIVEL
6774,DFSMP000225,CIUDAD DE MEXICO,BENITO JUÁREZ,BENITO JUAREZ,BENITO JUÁREZ,SMP,NO ESPECIFICADO,4,0,4,5,0,5,CLÍNICA MEDICA PRIVADA,"PITAGORAS 345, COL. NARVARTE",99999.0,EN OPERACION,-99.1574885,19.3968122,SEGUNDO NIVEL
6775,DFSMP000230,CIUDAD DE MEXICO,BENITO JUÁREZ,BENITO JUAREZ,BENITO JUÁREZ,SMP,NO ESPECIFICADO,8,0,8,30,0,30,HOSPITAL SANTA COLETA S.A. DE C.V.,"SATURNINO HERNAN 59, COL. SANDOX INSURGENTES",99999.0,EN OPERACION,-99.18645,19.367837,SEGUNDO NIVEL
6777,DFSMP000254,CIUDAD DE MEXICO,BENITO JUÁREZ,BENITO JUAREZ,BENITO JUÁREZ,SMP,NO ESPECIFICADO,4,0,4,9,0,9,HOSPITAL DE ESPECIALIDADES ETIOPIA,"AV. CUAUHTÉMOC 705, COL. NARVARTE",99999.0,EN OPERACION,-99.156357,19.3931218,SEGUNDO NIVEL
6778,DFSMP000266,CIUDAD DE MEXICO,XOCHIMILCO,XOCHIMILCO,XOCHIMILCO,SMP,NO ESPECIFICADO,2,0,2,2,0,2,CLÍNICA MÉDICA SAN CRISTOBAL SA DE CV,"DALIA NO 47, COL. SAN CRISTOBAL",16080.0,EN OPERACION,-99.0991953,19.261297,SEGUNDO NIVEL
6779,DFSMP000271,CIUDAD DE MEXICO,CUAUHTÉMOC,CUAUHTEMOC,CUAUHTÉMOC,SMP,NO ESPECIFICADO,0,0,0,25,0,25,SANATORIOS UNIDOS S.A. HOSPITAL TEHUANTEPEC,"TEHUANTEPEC 139, COL. ROMA",99999.0,EN OPERACION,-99.16270632,19.40493715,SEGUNDO NIVEL
