CLUES,NOMBRE DE LA ENTIDAD,CLAVE DE LA ENTIDAD,CLAVE DE LA INSTITUCION,TOTAL DE CAMAS,TIPOURGENCIA,MOTATE,YEAR,count,TIPOURGENCIA_V,MOTATE_V
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,2.0,2014,963,URGENCIA CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,2.0,2015,79,URGENCIA CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,2.0,2016,104,URGENCIA CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,3.0,2010,1,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,3.0,2011,2,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,3.0,2013,2,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,3.0,2014,1,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,3.0,2015,1,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,4.0,2010,7336,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,4.0,2011,4846,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,4.0,2012,5835,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,4.0,2013,7893,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,4.0,2014,9348,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,4.0,2015,5005,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,4.0,2016,5755,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,9.0,2010,1,URGENCIA CALIFICADA,NO ESPECIFICADO
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,1.0,9.0,2013,5,URGENCIA CALIFICADA,NO ESPECIFICADO
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,1.0,2010,39,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,1.0,2011,17,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,1.0,2012,28,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,1.0,2013,16,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,1.0,2014,14,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,1.0,2015,68,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,1.0,2016,9,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,2.0,2010,1349,URGENCIA NO CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,2.0,2011,101,URGENCIA NO CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,2.0,2012,32,URGENCIA NO CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,2.0,2013,34,URGENCIA NO CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,2.0,2014,37,URGENCIA NO CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,2.0,2015,59,URGENCIA NO CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,2.0,2016,43,URGENCIA NO CALIFICADA,MEDICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,3.0,2010,8,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,3.0,2012,1,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,3.0,2015,1,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,4.0,2010,17350,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,4.0,2011,21935,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,4.0,2012,22834,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,4.0,2013,21143,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,4.0,2014,15814,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,4.0,2015,6722,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000053,CIUDAD DE MEXICO,9,SSA,16,2.0,4.0,2016,2762,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,1.0,2011,1,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,1.0,2012,1,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,1.0,2013,1,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,1.0,2014,12,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,2.0,2011,18,URGENCIA CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,2.0,2012,16,URGENCIA CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,2.0,2013,15,URGENCIA CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,2.0,2014,6,URGENCIA CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,2.0,2015,15,URGENCIA CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,2.0,2016,13,URGENCIA CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,3.0,2011,1378,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,3.0,2012,2499,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,3.0,2013,1944,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,3.0,2014,889,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,3.0,2015,1243,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,3.0,2016,1832,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,4.0,2011,1,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,4.0,2012,1,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,4.0,2013,2,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,4.0,2014,1,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,1.0,9.0,2014,1,URGENCIA CALIFICADA,NO ESPECIFICADO
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,1.0,2011,1,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,1.0,2013,3,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,1.0,2014,53,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,2.0,2011,108,URGENCIA NO CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,2.0,2012,192,URGENCIA NO CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,2.0,2013,114,URGENCIA NO CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,2.0,2014,31,URGENCIA NO CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,2.0,2015,50,URGENCIA NO CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,2.0,2016,19,URGENCIA NO CALIFICADA,MEDICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,3.0,2011,10038,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,3.0,2012,11777,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,3.0,2013,12570,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,3.0,2014,12142,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,3.0,2015,11998,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,3.0,2016,10605,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,4.0,2012,3,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,4.0,2013,2,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,4.0,2014,5,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,4.0,2016,1,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,9.0,2013,1,URGENCIA NO CALIFICADA,NO ESPECIFICADO
DFSSA000065,CIUDAD DE MEXICO,9,SSA,19,2.0,9.0,2015,1,URGENCIA NO CALIFICADA,NO ESPECIFICADO
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,-1.0,1.0,2009,44,,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,2.0,2009,3603,URGENCIA CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,3.0,2009,1,URGENCIA CALIFICADA,QUIRURGICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,5.0,2009,1543,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,6.0,2009,7181,URGENCIA NO CALIFICADA,URGENCIA NO CALIFICADA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,-1.0,9.0,2009,7447,,NO ESPECIFICADO
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,1.0,2010,893,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,1.0,2011,1868,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,1.0,2012,2852,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,1.0,2013,2506,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,1.0,2014,3701,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,1.0,2015,3825,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,1.0,2016,3162,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,2.0,2010,3974,URGENCIA CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,2.0,2011,1493,URGENCIA CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,2.0,2012,1003,URGENCIA CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,2.0,2013,972,URGENCIA CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,2.0,2014,800,URGENCIA CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,2.0,2015,539,URGENCIA CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,2.0,2016,16,URGENCIA CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,3.0,2010,2,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,3.0,2013,1,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,3.0,2016,1,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,4.0,2010,69,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,4.0,2011,229,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,4.0,2012,1926,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,4.0,2013,818,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,4.0,2014,492,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,4.0,2015,160,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,4.0,2016,39,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,9.0,2010,3,URGENCIA CALIFICADA,NO ESPECIFICADO
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,9.0,2011,1,URGENCIA CALIFICADA,NO ESPECIFICADO
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,1.0,9.0,2013,1,URGENCIA CALIFICADA,NO ESPECIFICADO
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,1.0,2010,275,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,1.0,2011,149,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,1.0,2012,248,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,1.0,2013,429,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,1.0,2014,124,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,1.0,2015,322,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,1.0,2016,713,URGENCIA NO CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,2.0,2010,16216,URGENCIA NO CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,2.0,2011,12414,URGENCIA NO CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,2.0,2012,10883,URGENCIA NO CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,2.0,2013,9508,URGENCIA NO CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,2.0,2014,12102,URGENCIA NO CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,2.0,2015,9554,URGENCIA NO CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,2.0,2016,12096,URGENCIA NO CALIFICADA,MEDICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,3.0,2010,1,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,3.0,2011,3,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,3.0,2012,7,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,3.0,2013,3,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,3.0,2014,1,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,3.0,2015,4,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,3.0,2016,2,URGENCIA NO CALIFICADA,GINECO-OBSTETRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,4.0,2010,45,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,4.0,2011,346,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,4.0,2012,3085,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,4.0,2013,1315,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,4.0,2014,689,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,4.0,2015,244,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,4.0,2016,113,URGENCIA NO CALIFICADA,PEDIATRICA
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,9.0,2010,18,URGENCIA NO CALIFICADA,NO ESPECIFICADO
DFSSA000350,CIUDAD DE MEXICO,9,SSA,55,2.0,9.0,2011,4,URGENCIA NO CALIFICADA,NO ESPECIFICADO
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,2.0,2009,3,URGENCIA CALIFICADA,MEDICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,3.0,2009,3,URGENCIA CALIFICADA,QUIRURGICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,4.0,2009,4,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,5.0,2009,1,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,2.0,6.0,2009,1002,URGENCIA NO CALIFICADA,URGENCIA NO CALIFICADA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,1.0,2010,8,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,1.0,2011,42,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,1.0,2012,50,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,1.0,2013,54,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,1.0,2014,64,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,1.0,2015,3,URGENCIA CALIFICADA,"ACCIDENTES, ENVENENAMIENTO Y VIOLENCIAS"
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,2.0,2010,40,URGENCIA CALIFICADA,MEDICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,2.0,2011,166,URGENCIA CALIFICADA,MEDICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,2.0,2012,239,URGENCIA CALIFICADA,MEDICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,2.0,2013,345,URGENCIA CALIFICADA,MEDICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,2.0,2014,406,URGENCIA CALIFICADA,MEDICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,2.0,2015,24,URGENCIA CALIFICADA,MEDICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,3.0,2010,666,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,3.0,2011,2697,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,3.0,2012,3217,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,3.0,2013,4871,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,3.0,2014,7614,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,3.0,2015,566,URGENCIA CALIFICADA,GINECO-OBSTETRICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,4.0,2010,3,URGENCIA CALIFICADA,PEDIATRICA
DFSSA000596,CIUDAD DE MEXICO,9,SSA,35,1.0,4.0,2011,27,URGENCIA CALIFICADA,PEDIATRICA
